terms;values
кайзер;2
кайзеровский;2
кайзерслаутерн;2
кайкос;2
кайлаш;2
кайло;1,698970
кайма;1,698970
кайманы;2
кайнозой;2
кайнозойский;2
кайова;2
кайра;2
кайрат;2
кайседой;2
кайтселийт;2
кайтхи;2
кайша;1,518514
кайя;2
кака;2
какаш;2
каки;1,518514
какич;2
како;1,698970
каков;1,698970
каково;1,518514
какой;0,477121
кактус;2
кал;1,698970
калабай;2
калабрийский;2
калабрия;2
каладзе;2
калайдович;2
калалай;2
калан;2
каланов;2
каларгон;2
калауман;2
калашников;1,698970
калбить;1,698970
калверт;2
калвин;2
калгари;1,397940
каледин;2
каледония;2
каледонский;2
калейдоскоп;2
калека;1,698970
календарный;1,518514
календарь;0,778151
калет;2
кали;1,146128
калибр;1,698970
калигула;2
калий;1,518514
калимантан;2
калинг;2
калинин;1,518514
калининград;1,518514
калининградский;1,301030
калинка;2
калиновский;1,698970
калистратова;2
калита;2
калифорниец;2
калифорнийский;1,518514
калифорния;1,079181
калишевский;2
калка;2
каллаган;2
каллаик;2
каллай;2
каллас;2
каллиграфист;2
каллисто;2
каллошемьен;2
калмыкия;2
калмыцкий;1,397940
калмычка;2
калнберз;2
калоча;2
калочский;2
калуга;1,698970
калужа;2
калужский;2
калхас;2
калык;2
каль;2
кальба;2
кальва;2
кальви;2
кальвин;1,518514
кальвинизм;1,698970
кальвинистский;2
кальдерон;1,518514
кальдони;2
калька;1,698970
калькирование;2
калькройт;2
калькутта;2
кальман;1,698970
кальмар;1,301030
кальпурний;1,698970
кальтенбруннер;2
кальций;1,698970
калья;2
кальяо;2
кальярь;2
калягин;2
калязин;2
калязинский;2
кама;1,397940
камаз;1,698970
камал;1,698970
камалетдинович;2
каманцев;2
камарон;2
камачо;2
камбаловый;2
камберленд;2
камбоджа;1,301030
камбоджийский;2
камбюр;2
камвеньо;2
камвольный;2
каменев;1,698970
каменева;1,698970
каменец;1,698970
каменистый;2
каменка;2
каменноугольный;2
каменный;0,698970
каменоломня;2
каменск;1,698970
каменский;1,698970
каменское;2
камень;0,698970
камео;1,698970
камера;1,041393
камергер;2
камергерский;2
камерер;2
камеристка;2
камерный;1,698970
камерон;2
камерун;1,518514
камикадзе;2
камилла;2
камилло;2
камило;1,698970
камиль;1,698970
камиля;2
камин;2
каминг;1,518514
камингор;2
каминный;2
каминский;1,518514
камковый;2
камм;2
каммингс;2
камнепад;2
камник;2
камо;1,698970
кампанелла;2
кампанинь;2
кампания;0,602060
кампенгаузен;2
кампо;2
кампорредондо;2
кампос;1,698970
кампус;1,518514
кампуша;2
камуй;2
камуфляж;2
камчадал;2
камчатский;2
камыш;2
камышница;2
камю;1,698970
кан;1,397940
канава;2
канавка;2
канада;0,301030
канадец;1,698970
канадиенс;1,698970
канадо;2
канадский;0,477121
канал;0,477121
канализационный;1,698970
канализация;1,518514
канарейка;2
канарский;1,698970
канары;2
канатчиковый;2
канберра;2
канва;2
кангилиннгуит;2
канд;1,698970
кандавл;2
кандагар;2
кандалакша;1,518514
кандалы;1,698970
кандамо;1,698970
кандаулезизм;2
кандес;2
кандзя;2
кандидат;0,477121
кандидатура;1,397940
кандидо;2
кандий;2
кандор;2
канев;2
канеев;2
канеллис;2
канеш;2
канзас;1,698970
канзасский;2
кание;2
канизий;2
канизия;2
каникулы;2
каниф;2
канн;2
каннавал;2
каннада;1,698970
каннибальный;2
каннинг;2
каннингем;2
кано;2
канованас;2
канон;2
канонерский;2
канонизировать;2
каноэ;2
кансеко;1,698970
канск;2
канский;1,698970
кант;1,698970
кантабрия;2
кантаро;2
кантемир;2
канто;1,698970
кантон;1,698970
кантонмент;2
кантонский;2
кантор;1,518514
канторович;2
кантри;1,518514
канудос;2
канука;2
канун;1,518514
канцелярит;2
канцелярия;2
канцелярский;1,397940
канцероген;1,698970
канцерогенный;1,518514
канцлер;1,397940
каныш;2
кань;2
каньон;1,698970
каодать;2
капабланка;2
капак;1,698970
капампанганский;2
капау;2
капелла;1,518514
капелло;1,698970
капельный;2
капилляр;2
капитал;1
капитализация;1,698970
капитализм;1,204120
капиталист;2
капиталистический;2
капиталовложение;2
капитальный;1,204120
капитан;0,845098
капитолий;1,397940
капитолина;2
капитонов;2
капитулировать;1,518514
капитуляция;1,041393
капкан;2
каплан;2
каплин;2
каплицки;2
каплун;2
капля;1,698970
каподимонт;2
капот;2
капошвар;2
каппадокия;2
каппель;2
капри;2
каприз;1,518514
капский;2
капсула;2
капувар;2
капуста;1,397940
капустница;2
капюшон;2
кара;1,397940
караба;2
карабаева;2
карабан;2
карабах;1,698970
карабахский;1,397940
караван;1,698970
караванка;2
каравелла;2
караганда;1,698970
каракалпакский;2
каракас;1,698970
каракис;2
карактер;2
карамазов;2
караманида;2
карамзин;2
карандаш;1,698970
каранджа;2
карантание;2
карапетьянц;2
карара;2
карас;2
карасев;1,698970
карасыогуллар;2
карате;2
каратель;2
карательный;1,698970
каратузский;2
караул;1,518514
караулов;2
караулова;2
карафиат;2
карафуто;2
карацупа;2
карачаевец;2
карачаево;1,698970
карачаевский;2
карачахисарь;2
карачи;2
карачуновский;2
караша;2
карбамазепин;2
карбахо;2
карбери;2
карбид;1,698970
карбованец;2
карбовничий;2
карбон;2
карбонат;1,518514
карбонатный;2
карбонил;1,698970
карбонильный;2
карбоновый;2
карвер;2
каргал;2
кардашьян;2
карденас;1,698970
кардинал;1,204120
кардинале;2
кардинальні;2
кардиологический;2
кардифф;2
кардия;2
кардосо;2
кардучча;2
карев;2
каревич;2
карел;1,698970
карелин;1,698970
карелия;1,146128
карельский;1,397940
карен;2
карета;2
кариатида;2
кариб;1,518514
карибский;1,041393
карий;1,518514
карикатура;1,397940
карикатурист;1,698970
карикатурный;2
карильо;2
карим;2
каримов;1,698970
карин;2
карина;2
каринский;2
каринтийский;2
каринтия;2
кариссими;2
кариус;2
каркас;2
карл;0,602060
карла;1,518514
карлайла;2
карлайлский;2
карлейль;2
карлик;1,301030
карликовый;1,698970
карлинг;2
карлинь;2
карлис;2
карлица;2
карлова;2
карловацкий;2
карловицкий;2
карлович;1,698970
карловский;2
карлос;1,146128
карлота;2
карлсен;2
карлсон;1,518514
карлсруэ;2
карлссон;1,518514
карлстадский;2
карлстер;2
карлтон;2
карма;2
карман;1,397940
карманный;1,518514
кармелит;2
кармен;1,397940
кармон;2
кармічні;2
карнаухов;2
карнеги;2
карниз;2
карнилья;2
карно;2
карня;1,518514
каро;2
каролайн;1,518514
каролина;1
каролинг;2
каролингский;2
каролинский;1,698970
каролины;1,518514
кароль;2
каротиноид;2
карп;1,698970
карпатия;2
карпатский;1,698970
карпаты;1,698970
карпенко;1,698970
карпентьер;2
карпень;2
карпкарпкарпкарп;2
карпов;1,518514
карповец;2
карра;2
карран;2
каррарезь;2
каррачча;2
каррерас;1,698970
карри;1,518514
карриус;2
карролтон;2
каррьега;2
карседой;2
карсер;2
карский;1,079181
карсон;1,518514
карстен;2
карстовый;2
карстоподобный;2
карта;0,477121
карталкий;2
карташев;2
карташов;1,698970
картвелолог;2
картер;1,301030
картерный;2
картик;2
картина;0,698970
картинка;1,698970
картирование;2
картировать;2
картограф;1,698970
картографический;1,698970
картография;2
картон;2
картофель;1,698970
картофельный;2
карточка;0,477121
карточный;2
картошка;2
картрайт;2
карул;2
карусель;2
карфаген;2
карцер;2
карцинома;2
карьер;1,698970
карьера;0,698970
карьерный;1,518514
карякин;2
кас;2
касабланка;1,698970
касаемо;2
касаи;2
касание;2
касарес;1,698970
касарий;2
касательно;2
касаткин;2
касаться;0,778151
касерес;1,397940
касивар;1,698970
касис;2
каска;2
каскад;2
каскаския;2
касл;2
касли;2
каслинский;1,698970
каспар;1,698970
каспарайтис;2
каспаров;2
каспийск;2
каспийский;1,698970
касса;1,518514
кассандра;2
кассат;2
кассель;1,698970
кассельский;2
кассетный;1,518514
кассиа;2
кассиан;2
кассиодор;2
кассирер;2
кассия;2
кассовый;1,301030
каста;2
кастаньед;1,698970
кастелло;1,518514
кастелль;2
кастельона;2
кастил;2
кастилия;1,397940
кастильи;2
кастильо;1,518514
кастильский;2
кастилья;1,698970
кастрация;1,698970
кастри;2
кастро;1,301030
кастроизм;2
кастрюльный;2
касульо;2
кат;2
ката;2
катаби;2
катав;2
катави;2
катадфа;2
катакан;2
катакомба;1,698970
каталанский;0,698970
катализатор;1,204120
катализировать;2
каталин;2
каталог;0,301030
каталония;1,698970
каталонский;2
катальный;2
катальпа;2
катание;1,146128
катанов;2
катаньо;2
катар;1,204120
катаракта;2
катарина;2
катарский;1,698970
катасонов;2
катастрофа;0,477121
катастрофический;1,518514
катастрофичный;2
категорически;1,301030
категория;0
катер;1,518514
катериано;2
катерина;2
катетто;2
катехизис;2
катилин;2
катион;2
каткрекинг;2
катлин;2
катманду;2
катмандуский;2
катод;2
каток;1,518514
католик;1,204120
католицизм;1,079181
католический;0,698970
католичка;2
католь;2
катон;1,518514
каторга;1,698970
каторжный;2
катрин;2
катрина;1,698970
каттанея;2
катул;2
катьмар;2
катя;1,518514
каудильо;2
каун;2
каунд;2
каупенс;2
каус;2
каусильяс;2
каутский;2
кауфман;1,698970
кауфманн;2
кауффман;2
каучуковый;2
кауэн;2
кафар;2
кафе;1,698970
кафедра;1,204120
кафедральный;1,301030
кафетерий;2
кафка;2
кафкианский;2
каха;2
кахабер;2
кахаль;1,698970
кахамарка;2
кахан;2
каховка;2
каховский;2
каховской;2
кахраб;1,698970
кахтани;2
кац;1,698970
качалов;2
качановский;2
качественныи;2
качественный;1,397940
качество;0
качор;2
качота;2
качуг;2
каччиатори;2
кашад;2
кашалот;2
кашка;2
кашкантью;2
кашлер;2
кашмирить;2
каштан;2
каштановоголовый;2
кашубский;1,518514
кашхатау;2
кащей;2
каэтан;2
каюров;2
кб;1,518514
кбо;2
кв;1,518514
квадралогия;2
квадрат;1,301030
квадратик;2
квадратный;1,041393
квадратура;2
квадрига;1,698970
квадрирование;2
квази;2
квазигосударство;2
квакенбуш;2
квакер;2
квакуша;2
квалификатор;2
квалификация;1,698970
квалифицированный;1,698970
квалифицировать;1,301030
кван;2
кванджу;2
квантовый;1,301030
квантунский;2
кварк;2
квартал;1,041393
квартальный;2
квартет;1,698970
квартира;0,778151
квартирмейстер;2
квартирный;2
квартироваться;2
кварц;2
квасов;2
квасцы;2
квачков;2
кваша;2
квебек;1,041393
квебекский;2
квель;1,698970
кверху;2
квеста;2
кветта;2
квинарий;2
квинкция;2
квинс;2
квинсленд;2
квинта;1,698970
квинтонс;2
квира;1,698970
квислинг;2
квн;2
кво;1,698970
кворум;2
квота;2
квпнрм;1,698970
квс;2
квт;2
квітень;2
квітня;2
кг;1,041393
кгб;1,518514
кгбуз;2
кгиоп;2
кгс;1,518514
кд;2
кдж;1,397940
кди;1,698970
кебир;2
кеблень;2
кебрадильяс;2
кевагоселеша;2
кеваготеттеша;2
кевин;1,397940
кево;2
кедиря;2
кедр;1,301030
кедрин;1,698970
кедровый;2
кежемский;2
кей;2
кейван;2
кейдж;2
кейзер;2
кейко;2
кейкубад;2
кейн;1,301030
кейно;2
кейнс;1,698970
кейнсианство;1,698970
кейп;1,698970
кейпс;2
кейптаун;2
кейрош;2
кейс;1,518514
кейсмент;2
кейт;1,301030
кейтель;1,698970
кейтли;2
кейтс;2
кейхюсрев;1,698970
кек;2
кекбороть;2
кекень;2
кекертарсуак;2
кекеша;2
кекешд;2
кекс;2
кексгольмский;2
кекурский;1,698970
кел;2
келебия;2
келейный;2
келер;1,698970
келетать;2
келешхало;2
келкий;2
келлер;1,518514
келли;1,146128
келлог;2
келлский;2
кель;1,698970
келькед;2
кельн;2
кельт;1,518514
кельтский;2
кем;2
кемалистский;2
кемаль;1,397940
кембридж;2
кембриджский;2
кембриджшир;2
кемень;2
кемерово;1,698970
кемеровский;2
кемеч;2
кемеш;2
кемп;2
кемпец;2
кемпф;2
кемский;2
кемша;2
кен;1,397940
кеназ;2
кендалл;2
кенджар;2
кенджи;2
кендзиро;2
кенди;2
кендрик;2
кенез;2
кенелм;2
кенеш;2
кенигсберг;1,698970
кенигсбергский;2
кения;1,698970
кенмор;2
кеннеди;1,041393
кеннет;1,397940
кенни;2
кенсан;2
кенсингтон;1,518514
кент;1,301030
кентал;2
кентербери;2
кентерберийский;1,698970
кентукки;1,518514
кентуккийский;1,698970
кеньон;2
кео;2
кеон;1,698970
кепало;2
кепеша;2
кеплер;2
кеппена;2
кепрюля;2
керала;2
кератоконус;2
кербог;2
кердик;2
керек;2
керекедьхаза;2
керенский;1,518514
керер;2
керестеша;2
керестури;2
кереша;2
керешладань;2
керзон;1,698970
керим;2
керкапа;2
керкетт;2
керкира;2
керлинг;1,518514
керменд;2
керн;2
керовані;2
керосин;1,698970
керосино;2
керосиновый;2
керра;2
керри;1,698970
керриган;2
керси;2
керсновский;2
керсоблепта;2
керстин;2
кертес;1,698970
кертин;2
кертис;1,698970
керуак;2
керуан;2
керченский;1,397940
керчь;1,698970
кес;2
кеслер;2
кессел;2
кессельринг;2
кести;2
кеся;2
кет;1,698970
кетлица;2
кетуйфал;2
кехэй;2
кецель;2
кечуа;1,698970
кечуанский;2
кеш;1,079181
ки;1,397940
кианга;2
киану;2
кибальчич;2
кибератака;2
киберленинка;1,698970
киберпреступность;2
киберспорт;2
киберспортивный;2
киблер;2
киборг;2
кибуц;2
кива;2
кид;2
киданьский;2
кидаться;2
кидда;2
кидонийский;2
киев;0,698970
киевлянка;2
киевский;0,845098
киз;2
кизика;2
кизил;2
кизсп;2
кизяк;2
кий;2
кикабидзе;2
кикакуй;2
кикимора;1,698970
кикуйю;2
килбить;2
килик;2
киликийский;1,698970
килиманджаро;2
килла;2
киллер;2
килмер;1,698970
килобайт;1,397940
килограмм;2
километр;0,602060
километровый;1,397940
килотонна;2
киль;2
килька;2
ким;1,146128
кимбала;2
кими;2
киммерер;2
киммо;2
кимон;1,698970
кимоно;2
кин;1,698970
киналья;2
кинан;2
кинбурнский;2
кинг;0,845098
кингз;1,301030
кингисепп;2
кингитторсуакск;2
кингитторсуакский;2
кингс;1,698970
кингсбери;2
кингстаун;2
кингстон;1,698970
киндред;2
кинематический;2
кинематограф;0,954243
кинематографист;1,397940
кинематографистка;2
кинетический;2
кинетоскоп;2
кинжа;2
кинжал;1,698970
кинжалообразный;2
кинкладзе;2
кинкосес;2
кинль;1,698970
киннеллы;2
кинни;2
кинник;2
кино;0,602060
киноакадемия;2
киноактер;1,397940
киноактриса;1,397940
киновед;2
кинодекламация;2
кинодокумент;2
кинодраматург;2
киножурнал;2
киноиндустрия;2
кинокомпания;2
кинокомплекс;2
кинокритик;1,518514
кинологический;2
кинооператор;2
киноотчет;2
кинопанорама;2
киноперсонаж;2
кинопленка;2
кинопоиск;1,518514
кинопоказ;2
кинопремия;1,698970
кинопродюсер;1,698970
кинопрокат;2
кинопромышленность;2
кинорежиссер;1,041393
кинорежиссура;2
киноринх;2
киносерия;2
киностудия;1,397940
киносъемка;2
киносъемочный;2
кинотеатр;1,146128
кинотеатральный;2
кинофестиваль;1,301030
кинофильм;2
кинси;2
кинтэц;2
кинуть;2
кинуться;2
кинчев;2
кинчеш;2
киншаса;2
киньонес;2
кинэн;2
кио;2
киоск;2
киото;2
киотский;2
кипа;1,301030
кипарис;2
кипат;2
кипение;1,397940
кипер;2
кипинг;2
кипр;1,041393
киприан;2
кипро;1,698970
кипрский;1,518514
кипс;2
кипчог;2
кир;2
кира;2
кираз;2
кирайэдьхаза;2
кирант;2
кирарте;2
кирби;2
кирг;2
киргиз;2
киргизия;1,397940
киргизский;1,397940
киреев;1,698970
кирей;2
кирибати;1,518514
кириенко;2
кирико;2
кириленко;1,698970
кирилин;2
кирилл;0,845098
кириллица;1,397940
кириллический;2
кириллов;1,698970
кириллович;2
кирилловна;2
кириченко;2
кирияковщина;2
кирк;1,518514
кирка;2
киркенес;2
киров;1,518514
кировск;2
кировский;1,698970
кирочный;1,698970
кирпи;2
кирпич;2
кирпичников;2
кирпичный;1,698970
кирсанов;2
кирстен;2
кирсть;2
кирт;2
кирхер;2
киршен;2
киса;1,698970
кисарага;2
киселев;1,397940
киселева;2
киселиньский;2
кисимото;2
кислород;1,301030
кислота;1,146128
кислотный;1,397940
кислухина;2
кислый;1,518514
кисп;2
киссинджер;1,698970
кисслинг;2
кистевой;2
кистяковский;2
кисуфим;2
кит;0,954243
китаец;2
китай;0,301030
китайский;0,301030
китаянка;1,204120
кито;2
китовый;2
китон;1,698970
китообразный;2
китросский;2
китс;1,397940
киттс;2
китунда;2
киф;2
кифт;2
киффер;2
ких;2
кихот;1,518514
киш;2
кишашсоньф;2
кишбестерец;2
кишбудмер;2
кишвард;2
кишвасар;2
кишдер;2
кишдобс;2
кишеть;1,698970
кишечет;2
кишечник;2
кишечнополостной;2
кишечный;2
кишинев;1,397940
кишиневский;2
кишка;2
кишкашша;2
кишкун;2
кишкунмайша;2
кишкунхалаш;2
кишкуншаг;2
кишлиппо;2
кишньярад;2
кишсаллаш;2
кишсентмартон;2
киштамаши;2
киштаполец;2
киштарч;2
киштотфал;2
кишфалудить;2
кишхаймаш;2
кишхаршань;2
кишхеренда;2
кишъякабфальва;2
київ;1,698970
кк;2
ккал;1,698970
ккер;2
ккк;2
ккн;2
кл;2
клавдий;1,518514
клавесин;2
клавиша;2
клагенфурт;1,698970
клад;1,397940
кладбище;1,079181
кладдахский;2
кладезь;2
кладка;2
кладовая;1,698970
клайв;2
клайд;1,698970
клайдбанк;2
клайзер;2
клайн;2
клайнерман;2
клайпедский;1,698970
кламорган;2
клан;2
клара;1,698970
кларан;2
кларенс;1,397940
кларет;2
кларетный;2
кларисса;2
кларк;0,954243
кларка;1,301030
клас;1,518514
класс;0,477121
классик;1,397940
классика;1,204120
классификатор;1,698970
классификация;0,845098
классифицироваться;1,397940
классицизм;1,301030
классический;0,602060
классовый;2
кластер;1,698970
клаттербак;2
клауд;2
клаудио;2
клаудия;1,518514
клаус;1,698970
клебо;2
клевер;1,698970
клевета;2
клеветнический;2
клеиться;2
клей;2
клеймиться;2
клейн;1,698970
клейнберг;2
клейнмихель;2
клейст;1,698970
клем;1,698970
клемберг;2
клемент;2
клементина;2
клеменчич;2
клемонс;2
кленовый;2
клеомен;1,698970
клеон;2
клеоним;2
клеопатра;1,518514
клеопин;2
клеопов;2
клеофонт;2
клер;1,518514
клерикальный;2
клетка;1,204120
клетнова;2
клеточный;1,397940
клехо;2
клещ;2
клещиевка;2
кливленд;1,397940
клигер;2
клиент;1,146128
клик;2
климан;2
климат;0,845098
климатический;1,079181
климатолог;1,698970
климатология;1,698970
климби;2
клименко;2
климент;2
климово;1,698970
климт;2
климук;2
клин;1,518514
клинитон;2
клинический;1,518514
клинок;2
клинописный;2
клинопись;1,518514
клинт;2
клинтка;1,698970
клинтон;1
клинтонский;2
клип;1,518514
клипер;1,698970
клипперс;2
клиппертон;2
клир;2
клирик;2
клит;2
клифтон;2
клиффорд;1,301030
кличка;1,698970
кличко;1,698970
клиша;2
клише;2
клобуков;2
клод;1,397940
клодия;2
клон;2
клондайк;2
клос;2
клоуз;2
клочков;2
клсхс;2
клуб;0,477121
клубника;2
клубный;1,146128
клубок;2
клугер;2
клузак;2
клык;2
клэй;2
клэмпитт;2
клэр;2
клюв;2
клюква;2
ключ;1,041393
ключевой;0,602060
ключегорский;2
клюшка;2
кляйн;2
клясться;1,698970
клятва;1,518514
клятвенный;2
клячкин;2
км;0,477121
кмент;2
кмк;2
кмнс;2
кн;1,204120
кна;2
кнаанит;2
кнам;2
кнами;2
кнаусгор;2
кндр;1,041393
кнессет;1,518514
кни;2
книга;0,301030
книговед;2
книгоиздание;2
книгопечатание;1,698970
книготорговец;1,518514
книжечка;2
книжица;2
книжка;1,397940
книжник;2
книжность;2
книжный;1,397940
книнский;2
книпович;2
книпрод;2
книпхаузен;2
кнобел;2
кноблоха;2
кнопка;1,698970
кнорозов;2
кнорра;2
кнр;1,041393
кнс;2
кнунянц;1,518514
кнут;1,518514
княгиня;1,698970
княжеский;2
княжество;1,204120
княжич;2
княжна;1,698970
князев;2
князь;0,954243
ко;0,778151
коагулянт;2
коалиционный;1,698970
коалиция;0,778151
коамо;2
коап;2
коатуу;2
кобальт;1,204120
кобе;2
кобейн;2
кобелев;2
кобелл;2
коберн;2
кобец;2
кобза;1,698970
кобзон;2
кобинский;2
кобозев;2
кобос;2
кобра;2
кобринский;1,698970
кобург;1,698970
кобылин;2
кобылкин;2
ковалев;1,301030
ковалева;2
ковалевская;1,698970
ковалевский;1,518514
коваленко;1,698970
коваленок;2
ковалентный;1,397940
ковалик;2
коваль;1,518514
ковальков;2
ковальчик;2
ковальчук;1,698970
кованс;2
коварный;1,698970
коваснай;2
ковать;2
ковач;1,698970
ковачсенай;2
ковачхида;2
ковбой;1,518514
ковбойский;2
ковдор;2
ковеллин;2
ковель;1,698970
ковенский;2
ковентри;1,518514
ковер;1,698970
ковердый;2
ковид;2
ковик;2
ковка;2
ковкий;1,698970
ковкость;2
ковно;1,518514
ковный;2
ковпак;2
ковпаковский;2
ковровый;2
ковский;2
ковтюх;2
ковчег;1,518514
ковш;2
коган;2
когнитивист;2
когнитивный;1,698970
когорта;2
коготь;2
когут;2
код;0
кодекс;0
кодж;2
коджаман;2
коджо;2
коди;2
кодинск;2
кодирование;2
кодификация;2
кодифицировать;1,698970
кодовый;1,518514
кодокан;2
кодряна;1,698970
кодское;2
коекчуча;2
кожа;1,146128
кожаный;1,204120
кожевников;1,698970
кожедуб;2
коза;2
козак;1,698970
козара;2
козармишлень;2
козево;2
козел;1,397940
козельский;2
козиевская;2
козий;2
козим;2
козимо;2
козинка;2
козленочек;2
козлов;1,698970
козлова;1,698970
козловский;1,698970
козм;2
козодавлев;2
козодой;1,698970
козульский;2
козырев;2
коидзуми;2
кой;1,146128
койданово;2
койне;2
койот;2
койотис;1,518514
кок;2
кока;2
кокарев;2
кокимбит;2
кокин;2
коко;2
коковец;2
кокошкин;2
кокошко;2
кокс;1,397940
коксование;2
коксовый;2
коктейль;2
кокур;2
кокурый;2
кокутывать;2
кол;1,301030
колаковский;1,698970
коламбус;2
колбаса;2
колберт;2
колбин;2
колгуев;2
колдер;1,518514
колдервуд;2
колдовство;2
колдун;2
колдунство;2
колебание;1,301030
колебаться;1
коледж;2
коленвал;2
колено;1,301030
колесников;2
колесница;2
колесный;2
колесо;2
колесов;1,698970
колечи;2
коли;2
колибри;1,698970
колизей;2
колин;1,518514
количественно;2
количественный;1,301030
количество;0,301030
колкость;2
колл;2
коллаборант;2
коллаборационизм;1,698970
коллаборационист;1,698970
коллаборационистский;2
коллапс;1,518514
коллега;1,146128
коллегия;1,146128
колледж;0,954243
коллектив;1,079181
коллективизация;2
коллективизм;2
коллективный;1,204120
коллектор;2
коллекционер;1,397940
коллекционирование;2
коллекция;0,954243
коллер;1,518514
колли;2
коллингвуд;2
коллинза;1,397940
коллинсон;2
коллоидный;2
коллоквиализм;2
коллонтай;2
колман;2
колмановский;2
колмозерск;2
колобанов;1,698970
колодец;2
колодий;2
колодин;2
колокол;1,204120
колоколец;2
колокольный;2
колокольня;2
колокольчик;1,698970
коломар;2
коломбо;2
коломенский;2
коломея;2
коломиец;1,698970
коломна;1,301030
колониализм;2
колониальный;0,903090
колониеобразующий;2
колонизатор;2
колонизация;1,698970
колонист;1,518514
колония;0,845098
колонка;1,698970
колонна;1
колоннада;2
колонный;2
колонтар;2
колонуть;2
колоньеро;1,698970
колорадо;1,079181
колосков;2
колосов;1,698970
колоссальный;1,518514
колошварь;2
колпино;2
колпны;2
колс;2
колсон;2
колумб;1,146128
колумбийский;1,698970
колумбия;0,778151
колумбус;1,518514
колхидский;2
колхоз;2
колхозник;2
колхозный;2
колчак;1,518514
колчаковский;2
колчедан;1,518514
колыванов;2
колыванский;1,518514
колыма;1,698970
колымский;1,698970
кольбейнсей;2
кольер;1,518514
кольский;1,204120
кольт;2
кольцевой;1,698970
кольцо;1
кольцов;2
кольцонай;2
кольчатый;2
кольяусь;2
колюпановский;2
колючий;1,204120
коля;2
коляда;2
ком;1,698970
команда;0,477121
командарм;2
командир;0,954243
командировать;2
командировка;2
командный;0,845098
командование;0,698970
командовать;1,301030
командор;1,518514
командорский;2
командующий;0,845098
комар;1,698970
комаров;2
комбатант;2
комбед;2
комбинат;1,204120
комбинация;1,301030
комбинезон;2
комбинированный;2
комбинировать;2
комбриг;2
комедийный;1,518514
комедиограф;2
комедия;1,301030
коменда;2
комендант;1,397940
комендатура;2
комерио;2
комета;1,301030
кометать;2
комзин;2
коми;0,602060
комик;1,518514
комикс;1,079181
комина;2
коминтерн;2
комис;2
комиссар;0,845098
комиссариат;1,397940
комиссародержавие;2
комиссия;0,602060
комитет;0,477121
комический;2
комично;2
комичный;2
комкор;2
комлев;2
комло;2
комлоский;2
комма;1,301030
коммандос;2
комментарий;0,477121
комментатор;1,301030
комментаторский;2
комментировать;1,204120
коммерсант;0,778151
коммерциализация;2
коммерция;1,698970
коммерчески;1,698970
коммерческий;0,778151
коммодификация;2
коммодор;2
коммуна;1,146128
коммунальный;1,397940
коммунизм;1,146128
коммуникационный;1,518514
коммуникация;1,204120
коммунист;1,204120
коммунистический;0,903090
коммюнике;1,698970
комната;1,146128
комнатный;2
комнин;1,698970
комнина;2
комок;2
коморский;2
коморы;2
компактно;2
компактный;1,518514
компания;0,301030
компаньон;2
компаратив;2
компартия;1,518514
компенсационный;1,518514
компенсация;1
компенсировать;1,397940
компенсироваться;1,698970
компетентность;1,698970
компетентный;1,518514
компетенция;2
компиляция;2
комплекс;0,477121
комплексный;1,041393
комплексонометрически;2
комплект;1,301030
комплектоваться;2
комплектующий;2
комплемент;2
комплиментарный;2
комплутенс;2
композитный;2
композитор;0,477121
композиция;1,041393
компонент;0,903090
компостеть;2
компрессорный;2
компрессоростроение;2
компримировать;2
компрометировать;2
компромисс;1,518514
компсон;2
комптон;2
компью;2
компьютер;1,079181
компьютерный;0,778151
комрат;2
комро;2
комсомол;1,698970
комсомолец;1,397940
комсомолка;2
комсомольск;2
комсомольский;1,146128
комунерасти;2
комучать;2
комфо;2
комфорт;1,518514
кон;1,301030
конан;2
конант;2
конарев;2
конахер;1,518514
конвей;1,698970
конвейер;1,698970
конвекция;2
конвенсьон;1,698970
конвент;1,397940
конвенциальный;2
конвенция;0,845098
конверба;2
конверс;2
конверсия;2
конвертация;2
конвертер;1,518514
конвертерный;2
конвертирование;2
конвертировать;2
конвертируемый;2
конвея;2
конво;2
конвой;1,301030
конг;2
конгломерат;1,698970
конго;1,041393
конгрегационалист;2
конгресс;0,477121
конгрессмен;1,397940
конда;2
конденсат;1,698970
конденсатор;2
конденсация;2
конденсировать;1,698970
кондиви;2
кондиционирование;2
кондиционировать;2
кондолиза;2
кондоминиум;1,698970
кондопожский;2
кондор;1,698970
кондорс;2
кондратиевич;2
кондратов;2
кондратьев;1,518514
кондратюк;2
конев;2
коневодство;1,698970
конелиевич;2
конер;1,698970
конец;0
конечность;2
конечный;0,845098
конийский;1,518514
конинг;2
конингс;2
конисский;2
коница;2
коницк;2
конка;2
конкакаф;2
конкань;2
конкистадор;2
конклав;1,698970
конкорд;1,397940
конкордец;2
конкретизация;0,903090
конкретика;2
конкретно;1,698970
конкретный;0,778151
конкреция;2
конкурент;1,301030
конкурентный;1,518514
конкурентоспособность;1,698970
конкуренция;1,518514
конкурировать;1,204120
конкурс;0,954243
конлон;2
конмебол;2
конн;1,698970
коннектикут;1,518514
коннектикутский;2
коннелли;2
коннеллы;2
конни;1,698970
коннолль;1,698970
коннор;1,698970
коннотация;2
конный;1,518514
конобеев;2
коновалец;2
коновалов;2
коновалова;2
кононенко;2
конопницкая;2
конотоп;1,397940
конотопский;1,698970
конр;2
конрад;1,301030
конради;2
консалтинг;2
